"COMP","DATE","AVG_VOL","MAX_VOL","MIN_VOL"
"AMZN","2023-12-04","0.30109327267377806","1.0496978759765625","0.114990234375"
"AMZN","2023-12-05","0.35961698874449116","1.74420166015625","0.1199951171875"
"AMZN","2023-12-06","0.2935329339443109","1.470001220703125","0.100006103515625"
"AMZN","2023-12-07","0.2908014150766226","1.1599884033203125","0.04998779296875"
"AMZN","2023-12-08","0.26477363782051283","1.0","0.05999755859375"
"AMZN","2023-12-11","0.2734574538010817","1.81500244140625","0.080108642578125"
"AMZN","2023-12-12","0.23463596441806892","1.69000244140625","0.0399932861328125"
"AMZN","2023-12-13","0.3225512382311699","1.1200103759765625","0.095001220703125"
"AMZN","2023-12-14","0.34617849496694714","1.4900054931640625","0.111297607421875"
"AMZN","2023-12-15","0.2969859196589543","1.260009765625","0.100006103515625"
"BABA","2023-12-04","0.13324796236478365","0.57769775390625","0.04000091552734375"
"BABA","2023-12-05","0.11600122696314102","0.4185028076171875","0.04000091552734375"
"BABA","2023-12-06","0.12893060537484977","0.4199981689453125","0.0399932861328125"
"BABA","2023-12-07","0.11563335320888421","0.5699996948242188","0.0200042724609375"
"BABA","2023-12-08","0.09332422109750602","0.5049972534179688","0.02500152587890625"
"BABA","2023-12-11","0.10613192044771634","0.5800018310546875","0.029998779296875"
"BABA","2023-12-12","0.10337682870718148","0.5400009155273438","0.02700042724609375"
"BABA","2023-12-13","0.11826383150540866","0.3699951171875","0.029998779296875"
"BABA","2023-12-14","0.14299881763947317","0.7700042724609375","0.05500030517578125"
"BABA","2023-12-15","0.17195012019230768","0.49749755859375","0.05339813232421875"
"BBY","2023-12-04","0.15267298771784857","0.5699005126953125","0.0449981689453125"
"BBY","2023-12-05","0.1361869420760717","0.6800003051757812","0.04000091552734375"
"BBY","2023-12-06","0.12733567066681692","0.4799957275390625","0.0500030517578125"
"BBY","2023-12-07","0.12712957920172277","0.839996337890625","0.03000640869140625"
"BBY","2023-12-08","0.14120913774539262","0.45999908447265625","0.04000091552734375"
"BBY","2023-12-11","0.14125647911658654","0.67999267578125","0.029998779296875"
"BBY","2023-12-12","0.12781632252228567","0.8800048828125","0.029998779296875"
"BBY","2023-12-13","0.18782199957431892","0.8690032958984375","0.03000640869140625"
"BBY","2023-12-14","0.21357013017703325","0.8050003051757812","0.05999755859375"
"BBY","2023-12-15","0.1826315659743089","0.9799957275390625","0.0471038818359375"
"COST","2023-12-04","0.6444389147636218","3.5799560546875","0.179931640625"
"COST","2023-12-05","0.8476116473858173","2.989990234375","0.219970703125"
"COST","2023-12-06","0.6921488444010416","3.35992431640625","0.17999267578125"
"COST","2023-12-07","0.6819692758413461","3.280029296875","0.220458984375"
"COST","2023-12-08","0.6514219626402243","1.8900146484375","0.1600341796875"
"COST","2023-12-11","0.7421945425180289","6.23992919921875","0.25"
"COST","2023-12-12","0.6951544345953525","4.280029296875","0.19073486328125"
"COST","2023-12-13","0.8176934657952725","3.3599853515625","0.2099609375"
"COST","2023-12-14","0.949462890625","4.83502197265625","0.32000732421875"
"COST","2023-12-15","1.6646869365985577","10.41998291015625","0.44354248046875"
"EBAY","2023-12-04","0.07039246192345253","0.20000076293945312","0.02500152587890625"
"EBAY","2023-12-05","0.08167433127378806","0.2849998474121094","0.020000457763671875"
"EBAY","2023-12-06","0.07317958733974358","0.25499725341796875","0.024997711181640625"
"EBAY","2023-12-07","0.06413088089380509","0.20999908447265625","0.020000457763671875"
"EBAY","2023-12-08","0.06569084754356971","0.19499969482421875","0.0149993896484375"
"EBAY","2023-12-11","0.08711428520007011","0.3600006103515625","0.020000457763671875"
"EBAY","2023-12-12","0.07372807233761518","0.470001220703125","0.0175018310546875"
"EBAY","2023-12-13","0.07731378995455228","0.22999954223632812","0.02500152587890625"
"EBAY","2023-12-14","0.09403844980093148","0.3200035095214844","0.024997711181640625"
"EBAY","2023-12-15","0.09630252153445513","0.4900016784667969","0.034999847412109375"
"HD","2023-12-04","0.47083341158353365","3.25","0.139984130859375"
"HD","2023-12-05","0.42891243176582533","1.779998779296875","0.100006103515625"
"HD","2023-12-06","0.42165902944711536","2.510009765625","0.144989013671875"
"HD","2023-12-07","0.3495905949519231","1.360015869140625","0.1199951171875"
"HD","2023-12-08","0.38384814140124196","1.214996337890625","0.16998291015625"
"HD","2023-12-11","0.3803675724909856","1.35992431640625","0.105010986328125"
"HD","2023-12-12","0.3144331711989183","1.070098876953125","0.110015869140625"
"HD","2023-12-13","0.557218502729367","3.019989013671875","0.114990234375"
"HD","2023-12-14","0.6053728935046073","2.8900146484375","0.17999267578125"
"HD","2023-12-15","0.6495408278245193","2.69000244140625","0.149993896484375"
"KR","2023-12-04","0.08658947088779548","0.44000244140625","0.02989959716796875"
"KR","2023-12-05","0.0650948744553786","0.18000030517578125","0.020000457763671875"
"KR","2023-12-06","0.06130903195112179","0.25","0.0149993896484375"
"KR","2023-12-07","0.06674497555463742","0.30999755859375","0.024997711181640625"
"KR","2023-12-08","0.05919950436323117","0.2350006103515625","0.01999664306640625"
"KR","2023-12-11","0.06622167733999398","0.2599983215332031","0.01999664306640625"
"KR","2023-12-12","0.06299214485364082","0.30999755859375","0.019100189208984375"
"KR","2023-12-13","0.06216582273825621","0.18999862670898438","0.0155029296875"
"KR","2023-12-14","0.07708588624611878","0.206298828125","0.02500152587890625"
"KR","2023-12-15","0.07847947340745193","0.2800025939941406","0.020000457763671875"
"SHOP","2023-12-04","0.20858872242462942","0.7199935913085938","0.08100128173828125"
